id,name,name_en,district_id,district_name,sub_district_id,sub_district_name,municipal_status_id,municipal_status_name,coordinates_itm_east,coordinates_itm_north,coordinates_wgs84_latitude,coordinates_wgs84_longitude,population,natural_region_id,natural_region_name,type_of_locality_id,type_of_locality_group,type_of_locality_form,local_authorities_cluster_id,local_authorities_cluster_name,previous_names,merged_locality_names
1070,"אביעזר","Avi'ezer",1,"ירושלים",11,"ירושלים",26,"מועצה אזורית מטה יהודה",201660,621040,31.68177,35.01682,890,112,"שפלת יהודה",310,"יישוב כפרי","מושבים",,,,
1220,"אבירים","Abbirim",2,"הצפון",24,"עכו",52,"מועצה אזורית מעלה יוסף",227150,771490,33.03858,35.28687,296,244,"אזור אילון",370,"יישוב כפרי","יישובים קהילתיים",212,"אשכול רשויות גליל מערבי",,
182,"אבן יהודה","Even Yehuda",4,"המרכז",41,"השרון",99,"מועצה מקומית",189430,686420,32.27112,34.88581,14267,411,"מערב השרון",170,"יישוב עירוני","יישובים יהודיים 19,999-10,000 תושבים",,,,
1081,"אבן מנחם","Even Menahem",2,"הצפון",24,"עכו",52,"מועצה אזורית מעלה יוסף",227810,775450,33.07428,35.29397,278,244,"אזור אילון",310,"יישוב כפרי","מושבים",212,"אשכול רשויות גליל מערבי",,
783,"אבן ספיר","Even Sappir",1,"ירושלים",11,"ירושלים",26,"מועצה אזורית מטה יהודה",212840,630020,31.76288,35.13467,686,111,"הרי יהודה",310,"יישוב כפרי","מושבים",,,,
400,"אבן שמואל","Even Shemu'el",6,"הדרום",61,"אשקלון",34,"מועצה אזורית שפיר",177780,609260,31.57492,34.76548,2279,612,"אזור לכיש",190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",,,,
4011,"אבני איתן","Avne Etan",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",271960,747740,32.82321,35.7652,811,294,"גולן דרומי",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
3793,"אבני חפץ","Avne Hefez",7,"אזור יהודה ושומרון",73,"טול כרם",72,"מועצה אזורית שומרון",207070,687950,32.28525,35.07302,2223,,,190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",710,"אשכול רשויות יהודה ושומרון",,
3786,"אבנת","Avenat",7,"אזור יהודה ושומרון",75,"ירדן-יריחו",74,"מועצה אזורית מגילות ים המלח",241470,620750,31.67909,35.43667,260,,,370,"יישוב כפרי","יישובים קהילתיים",710,"אשכול רשויות יהודה ושומרון",,
1311,"אבשלום","Avshalom",6,"הדרום",62,"באר שבע",38,"מועצה אזורית אשכול",136190,567450,31.19562,34.33089,345,622,"אזור בשור",370,"יישוב כפרי","יישובים קהילתיים",620,"אשכול רשויות נגב מערבי",,
3759,"אדורה","Adora",7,"אזור יהודה ושומרון",77,"חברון",78,"מועצה אזורית הר חברון",201690,606650,31.552,35.0174,474,,,370,"יישוב כפרי","יישובים קהילתיים",710,"אשכול רשויות יהודה ושומרון",,
113,"אדירים","Addirim",2,"הצפון",23,"יזרעאל",8,"מועצה אזורית הגלבוע",225780,717190,32.54897,35.27184,278,234,"עמק יזרעאל",310,"יישוב כפרי","מושבים",213,"אשכול רשויות הגליל והעמקים",,
1068,"אדמית","Adamit",2,"הצפון",24,"עכו",4,"מועצה אזורית מטה אשר",219840,776000,33.07928,35.20862,265,244,"אזור אילון",330,"יישוב כפרי","קיבוצים",212,"אשכול רשויות גליל מערבי",,
1123,"אדרת","Adderet",1,"ירושלים",11,"ירושלים",26,"מועצה אזורית מטה יהודה",199580,618680,31.66046,34.99493,922,112,"שפלת יהודה",310,"יישוב כפרי","מושבים",,,,
446,"אודים","Udim",4,"המרכז",41,"השרון",19,"מועצה אזורית חוף השרון",185810,685800,32.26542,34.84741,1405,411,"מערב השרון",310,"יישוב כפרי","מושבים",,,,
4010,"אודם","Odem",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",270280,788800,33.19349,35.74953,176,292,"גולן צפוני",320,"יישוב כפרי","מושבים שיתופיים",211,"אשכול רשויות גליל מזרחי",,
1046,"אוהד","Ohad",6,"הדרום",62,"באר שבע",38,"מועצה אזורית אשכול",145800,571990,31.23721,34.43137,412,622,"אזור בשור",310,"יישוב כפרי","מושבים",620,"אשכול רשויות נגב מערבי",,
2710,"אום אל-פחם","Umm al-Fahm",3,"חיפה",32,"חדרה",0,"עירייה",214500,714030,32.52048,35.15176,57676,323,"הר אלכסנדר",250,"יישוב עירוני","יישובים לא יהודיים 99,999-50,000 תושבים",,,,
2024,"אום אל-קוטוף","Umm Al-Qutuf",3,"חיפה",32,"חדרה",14,"מועצה אזורית מנשה",205530,708350,32.46919,35.05637,1169,323,"הר אלכסנדר",450,"יישוב כפרי","יישובים כפריים אחרים, לא-יהודיים",,,,
1358,"אום בטין","Umm Batin",6,"הדרום",62,"באר שבע",69,"מועצה אזורית אל קסום",188670,576560,31.28035,34.88121,4705,623,"אזור באר שבע",290,"יישוב עירוני","יישובים לא יהודיים 4,999-2,000 תושבים",610,"אשכול רשויות נגב מזרחי",,
1108,"אומן","Omen",2,"הצפון",23,"יזרעאל",8,"מועצה אזורית הגלבוע",223020,718790,32.56341,35.24246,559,234,"עמק יזרעאל",350,"יישוב כפרי","יישובים כפריים אחרים, יהודיים",213,"אשכול רשויות הגליל והעמקים",,
680,"אומץ","Omez",4,"המרכז",41,"השרון",16,"מועצה אזורית עמק חפר",199670,697440,32.37072,34.99427,824,412,"מזרח השרון",310,"יישוב כפרי","מושבים",,,,
31,"אופקים","Ofaqim",6,"הדרום",62,"באר שבע",0,"עירייה",163770,579690,31.30765,34.61956,33999,622,"אזור בשור",160,"יישוב עירוני","יישובים יהודיים 49,999-20,000 תושבים",620,"אשכול רשויות נגב מערבי",,
1294,"אור הגנוז","Or HaGanuz",2,"הצפון",21,"צפת",2,"מועצה אזורית מרום הגליל",242120,767830,33.00537,35.44704,600,212,"גליל עליון מזרחי",320,"יישוב כפרי","מושבים שיתופיים",211,"אשכול רשויות גליל מזרחי",,
67,"אור הנר","Or HaNer",6,"הדרום",61,"אשקלון",37,"מועצה אזורית שער הנגב",162020,607360,31.55711,34.59958,808,614,"אזור אשקלון",330,"יישוב כפרי","קיבוצים",620,"אשכול רשויות נגב מערבי",,
2400,"אור יהודה","Or Yehuda",5,"תל אביב",52,"תל אביב",0,"עירייה",186340,659620,32.02936,34.85394,36814,512,"אזור רמת גן",160,"יישוב עירוני","יישובים יהודיים 49,999-20,000 תושבים",,,,
1020,"אור עקיבא","Or Aqiva",3,"חיפה",32,"חדרה",0,"עירייה",192710,712710,32.50827,34.91988,19904,324,"אזור חדרה",170,"יישוב עירוני","יישובים יהודיים 19,999-10,000 תושבים",,,,
780,"אורה","Ora",1,"ירושלים",11,"ירושלים",26,"מועצה אזורית מטה יהודה",214580,629060,31.75423,35.15304,1298,111,"הרי יהודה",310,"יישוב כפרי","מושבים",,,,
2012,"אורות","Orot",6,"הדרום",61,"אשקלון",33,"מועצה אזורית באר טוביה",174920,627820,31.74219,34.73451,472,611,"אזור מלאכי",310,"יישוב כפרי","מושבים",420,"אשכול רשויות שורק דרומי",,
4013,"אורטל","Ortal",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",271200,776990,33.08697,35.75873,369,292,"גולן צפוני",330,"יישוב כפרי","קיבוצים",211,"אשכול רשויות גליל מזרחי",,
403,"אורים","Urim",6,"הדרום",62,"באר שבע",38,"מועצה אזורית אשכול",154540,579360,31.3042,34.52263,504,622,"אזור בשור",330,"יישוב כפרי","קיבוצים",620,"אשכול רשויות נגב מערבי",,
882,"אורנים","Oranim",3,"חיפה",31,"חיפה",12,"מועצה אזורית זבולון",210490,735290,32.71216,35.10888,61,311,"אזור חיפה",340,"יישוב כפרי","יישובים מוסדיים, יהודיים",310,"אשכול רשויות המפרץ",,
3760,"אורנית","Oranit",7,"אזור יהודה ושומרון",73,"טול כרם",99,"מועצה מקומית",199530,670870,32.13112,34.99334,9113,,,180,"יישוב עירוני","יישובים יהודיים 9,999-5,000 תושבים",710,"אשכול רשויות יהודה ושומרון",,
278,"אושה","Usha",3,"חיפה",31,"חיפה",12,"מועצה אזורית זבולון",211040,744620,32.7963,35.11466,589,311,"אזור חיפה",330,"יישוב כפרי","קיבוצים",310,"אשכול רשויות המפרץ",,
565,"אזור","Azor",5,"תל אביב",53,"תל אביב",99,"מועצה מקומית",181940,658990,32.02354,34.80739,13473,513,"אזור חולון",170,"יישוב עירוני","יישובים יהודיים 19,999-10,000 תושבים",,,,
1157,"אחווה","Ahawa",6,"הדרום",61,"אשקלון",33,"מועצה אזורית באר טוביה",178210,627960,31.74358,34.76922,279,611,"אזור מלאכי",350,"יישוב כפרי","יישובים כפריים אחרים, יהודיים",420,"אשכול רשויות שורק דרומי",,
821,"אחוזם","Ahuzzam",6,"הדרום",61,"אשקלון",50,"מועצה אזורית לכיש",178220,606870,31.55338,34.77021,551,612,"אזור לכיש",310,"יישוב כפרי","מושבים",,,,
1330,"אחוזת ברק","Ahuzzat Baraq",2,"הצפון",23,"יזרעאל",9,"מועצה אזורית עמק יזרעאל",232000,727620,32.64297,35.3382,2426,234,"עמק יזרעאל",190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",213,"אשכול רשויות הגליל והעמקים",,
785,"אחיהוד","Ahihud",2,"הצפון",24,"עכו",4,"מועצה אזורית מטה אשר",216520,756980,32.90777,35.17312,916,246,"אזור עכו",310,"יישוב כפרי","מושבים",212,"אשכול רשויות גליל מערבי",,
850,"אחיטוב","Ahituv",4,"המרכז",41,"השרון",16,"מועצה אזורית עמק חפר",199320,699340,32.38785,34.99051,1091,412,"מזרח השרון",310,"יישוב כפרי","מושבים",,,,
804,"אחיסמך","Ahisamakh",4,"המרכז",43,"רמלה",25,"מועצה אזורית חבל מודיעין",191410,649190,31.93543,34.90791,1418,432,"אזור רמלה",310,"יישוב כפרי","מושבים",,,,
797,"אחיעזר","Ahi'ezer",4,"המרכז",43,"רמלה",40,"מועצה אזורית שדות דן",187930,654410,31.98242,34.87094,1947,432,"אזור רמלה",310,"יישוב כפרי","מושבים",,,,
338,"איבים","Ibbim",6,"הדרום",61,"אשקלון",37,"מועצה אזורית שער הנגב",162970,604770,31.5338,34.60973,721,614,"אזור אשקלון",340,"יישוב כפרי","יישובים מוסדיים, יהודיים",620,"אשכול רשויות נגב מערבי",,
716,"אייל","Eyal",4,"המרכז",42,"פתח תקווה",20,"מועצה אזורית דרום השרון",198260,679820,32.2118,34.97968,549,421,"דרום השרון",330,"יישוב כפרי","קיבוצים",410,"אשכול רשויות השרון",,
77,"איילת השחר","Ayyelet HaShahar",2,"הצפון",21,"צפת",1,"מועצה אזורית הגליל העליון",254180,769900,33.02372,35.57617,1138,211,"עמק חולה",330,"יישוב כפרי","קיבוצים",211,"אשכול רשויות גליל מזרחי",,
294,"אילון","Elon",2,"הצפון",24,"עכו",4,"מועצה אזורית מטה אשר",220610,774230,33.06332,35.21686,1067,244,"אזור אילון",330,"יישוב כפרי","קיבוצים",212,"אשכול רשויות גליל מערבי",,
1126,"אילות","Elot",6,"הדרום",62,"באר שבע",53,"מועצה אזורית חבל אילות",196040,388200,29.58147,34.96283,362,625,"הערבה",330,"יישוב כפרי","קיבוצים",610,"אשכול רשויות נגב מזרחי",,
49,"אילנייה","Ilaniyya",2,"הצפון",22,"כנרת",3,"מועצה אזורית הגליל התחתון",238470,739980,32.75433,35.4074,485,222,"גליל תחתון מזרחי",310,"יישוב כפרי","מושבים",214,"אשכול רשויות הכנרת והעמקים",,
2600,"אילת","Elat",6,"הדרום",62,"באר שבע",0,"עירייה",194140,385060,29.5531,34.94329,52753,625,"הערבה",150,"יישוב עירוני","יישובים יהודיים 99,999-50,000 תושבים",,,,
1336,"אירוס","Irus",4,"המרכז",44,"רחובות",27,"מועצה אזורית גן רווה",179000,648530,31.92911,34.7767,830,442,"אזור ראשון לציון",370,"יישוב כפרי","יישובים קהילתיים",,,,
3762,"איתמר","Itamar",7,"אזור יהודה ושומרון",72,"שכם",72,"מועצה אזורית שומרון",229210,675590,32.17381,35.30793,1355,,,370,"יישוב כפרי","יישובים קהילתיים",710,"אשכול רשויות יהודה ושומרון",,
37,"איתן","Etan",6,"הדרום",61,"אשקלון",34,"מועצה אזורית שפיר",176140,608980,31.57233,34.74822,520,612,"אזור לכיש",310,"יישוב כפרי","מושבים",,,,
886,"איתנים","Etanim",1,"ירושלים",11,"ירושלים",26,"מועצה אזורית מטה יהודה",209110,631810,31.779,35.09528,60,111,"הרי יהודה",340,"יישוב כפרי","יישובים מוסדיים, יהודיים",,,,
478,"אכסאל","Iksal",2,"הצפון",23,"יזרעאל",99,"מועצה מקומית",230710,731910,32.68167,35.3245,15146,237,"הרי נצרת-תירען",270,"יישוב עירוני","יישובים לא יהודיים 19,999-10,000 תושבים",213,"אשכול רשויות הגליל והעמקים",,
1339,"אל-עזי","Al-Azy",6,"הדרום",61,"אשקלון",35,"מועצה אזורית יואב",180990,625560,31.72203,34.79865,196,611,"אזור מלאכי",450,"יישוב כפרי","יישובים כפריים אחרים, לא-יהודיים",420,"אשכול רשויות שורק דרומי",,
1316,"אל-עריאן","Al-Aryan",3,"חיפה",32,"חדרה",14,"מועצה אזורית מנשה",212020,711540,32.49802,35.12538,191,323,"הר אלכסנדר",450,"יישוב כפרי","יישובים כפריים אחרים, לא-יהודיים",,,,
4003,"אל-רום","El-Rom",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",272320,787400,33.18077,35.77133,442,292,"גולן צפוני",330,"יישוב כפרי","קיבוצים",211,"אשכול רשויות גליל מזרחי",,
1359,"אל סייד","Al Sayyid",6,"הדרום",62,"באר שבע",69,"מועצה אזורית אל קסום",191780,577110,31.28539,34.91385,6288,623,"אזור באר שבע",280,"יישוב עירוני","יישובים לא יהודיים 9,999-5,000 תושבים",610,"אשכול רשויות נגב מזרחי",,
1145,"אלומה","Alumma",6,"הדרום",61,"אשקלון",34,"מועצה אזורית שפיר",175750,617770,31.65159,34.74372,1163,611,"אזור מלאכי",350,"יישוב כפרי","יישובים כפריים אחרים, יהודיים",,,,
330,"אלומות","Alummot",2,"הצפון",22,"כנרת",6,"מועצה אזורית עמק הירדן",251510,734750,32.70687,35.54637,436,221,"כנרות",330,"יישוב כפרי","קיבוצים",214,"אשכול רשויות הכנרת והעמקים",,
1182,"אלון הגליל","Allon HaGalil",2,"הצפון",23,"יזרעאל",9,"מועצה אזורית עמק יזרעאל",220850,740250,32.75692,35.21938,1132,237,"הרי נצרת-תירען",310,"יישוב כפרי","מושבים",213,"אשכול רשויות הגליל והעמקים",,
3579,"אלון מורה","Elon More",7,"אזור יהודה ושומרון",72,"שכם",72,"מועצה אזורית שומרון",231460,682280,32.23412,35.33187,2009,,,190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",710,"אשכול רשויות יהודה ושומרון",,
3604,"אלון שבות","Allon Shevut",7,"אזור יהודה ושומרון",76,"בית לחם",76,"מועצה אזורית גוש עציון",212020,618050,31.65492,35.12611,3061,,,190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",,,,
429,"אלוני אבא","Allone Abba",2,"הצפון",23,"יזרעאל",9,"מועצה אזורית עמק יזרעאל",216280,737200,32.72942,35.17063,1000,237,"הרי נצרת-תירען",320,"יישוב כפרי","מושבים שיתופיים",213,"אשכול רשויות הגליל והעמקים",,
4017,"אלוני הבשן","Allone HaBashan",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",278700,772240,33.04376,35.83875,472,292,"גולן צפוני",320,"יישוב כפרי","מושבים שיתופיים",211,"אשכול רשויות גליל מזרחי",,
868,"אלוני יצחק","Allone Yizhaq",3,"חיפה",32,"חדרה",14,"מועצה אזורית מנשה",200620,712950,32.5106,35.00405,305,324,"אזור חדרה",340,"יישוב כפרי","יישובים מוסדיים, יהודיים",,,,
285,"אלונים","Allonim",2,"הצפון",23,"יזרעאל",9,"מועצה אזורית עמק יזרעאל",213910,736110,32.71958,35.14535,548,235,"אזור יקנעם",330,"יישוב כפרי","קיבוצים",213,"אשכול רשויות הגליל והעמקים",,
4002,"אלי-עד","Eli-Ad",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",269140,745720,32.80512,35.73498,484,294,"גולן דרומי",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
1365,"אליאב","Eliav",6,"הדרום",61,"אשקלון",50,"מועצה אזורית לכיש",193420,604080,31.52866,34.93037,691,612,"אזור לכיש",370,"יישוב כפרי","יישובים קהילתיים",,,,
41,"אליכין","Elyakhin",4,"המרכז",41,"השרון",99,"מועצה מקומית",193180,701560,32.40774,34.92519,3461,411,"מערב השרון",190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",,,,
1248,"אליפז","Elifaz",6,"הדרום",62,"באר שבע",53,"מועצה אזורית חבל אילות",200780,411870,29.79508,35.01134,166,625,"הערבה",330,"יישוב כפרי","קיבוצים",610,"אשכול רשויות נגב מזרחי",,
730,"אליפלט","Elifelet",2,"הצפון",21,"צפת",55,"מועצה אזורית מבואות החרמון",251520,761490,32.94797,35.5474,695,213,"אזור חצור",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
682,"אליקים","Elyaqim",2,"הצפון",23,"יזרעאל",13,"מועצה אזורית מגידו",206580,726420,32.63214,35.06729,968,236,"רמת מנשה",310,"יישוב כפרי","מושבים",213,"אשכול רשויות הגליל והעמקים",,
204,"אלישיב","Elyashiv",4,"המרכז",41,"השרון",16,"מועצה אזורית עמק חפר",191700,698550,32.38056,34.90955,716,411,"מערב השרון",310,"יישוב כפרי","מושבים",,,,
841,"אלישמע","Elishama",4,"המרכז",42,"פתח תקווה",20,"מועצה אזורית דרום השרון",193420,673280,32.15272,34.92852,1167,421,"דרום השרון",310,"יישוב כפרי","מושבים",410,"אשכול רשויות השרון",,
1125,"אלמגור","Almagor",2,"הצפון",22,"כנרת",6,"מועצה אזורית עמק הירדן",256680,757530,32.9121,35.60242,423,221,"כנרות",310,"יישוב כפרי","מושבים",214,"אשכול רשויות הכנרת והעמקים",,
3556,"אלמוג","Almog",7,"אזור יהודה ושומרון",75,"ירדן-יריחו",74,"מועצה אזורית מגילות ים המלח",243780,632940,31.78897,35.46133,256,,,330,"יישוב כפרי","קיבוצים",710,"אשכול רשויות יהודה ושומרון",,
1309,"אלעד","El'ad",4,"המרכז",42,"פתח תקווה",0,"עירייה",196050,662010,32.05115,34.95667,49593,422,"אזור פתח תקווה",160,"יישוב עירוני","יישובים יהודיים 49,999-20,000 תושבים",,,,
3618,"אלעזר","El'azar",7,"אזור יהודה ושומרון",76,"בית לחם",76,"מועצה אזורית גוש עציון",213520,618720,31.66097,35.14192,2561,,,190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",,,,
3750,"אלפי מנשה","Alfe Menashe",7,"אזור יהודה ושומרון",73,"טול כרם",99,"מועצה מקומית",201450,675580,32.17362,35.01359,7967,,,180,"יישוב עירוני","יישובים יהודיים 9,999-5,000 תושבים",710,"אשכול רשויות יהודה ושומרון",,
603,"אלקוש","Elqosh",2,"הצפון",24,"עכו",52,"מועצה אזורית מעלה יוסף",230600,770910,33.03332,35.3238,279,244,"אזור אילון",310,"יישוב כפרי","מושבים",212,"אשכול רשויות גליל מערבי",,
3560,"אלקנה","Elqana",7,"אזור יהודה ושומרון",73,"טול כרם",99,"מועצה מקומית",203630,668680,32.11143,35.03682,4071,,,190,"יישוב עירוני","יישובים יהודיים 4,999-2,000 תושבים",710,"אשכול רשויות יהודה ושומרון",,
772,"אמונים","Emunim",6,"הדרום",61,"אשקלון",33,"מועצה אזורית באר טוביה",169400,628010,31.74368,34.67625,1011,611,"אזור מלאכי",310,"יישוב כפרי","מושבים",420,"אשכול רשויות שורק דרומי",,
1064,"אמירים","Amirim",2,"הצפון",21,"צפת",2,"מועצה אזורית מרום הגליל",242560,760270,32.9372,35.45155,871,212,"גליל עליון מזרחי",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
1253,"אמנון","Amnun",2,"הצפון",21,"צפת",55,"מועצה אזורית מבואות החרמון",253790,756630,32.90408,35.5715,455,213,"אזור חצור",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
23,"אמציה","Amazya",6,"הדרום",61,"אשקלון",50,"מועצה אזורית לכיש",191840,604500,31.53241,34.91372,219,612,"אזור לכיש",320,"יישוב כפרי","מושבים שיתופיים",,,,
4012,"אניעם","Ani'am",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",269540,762600,32.9573,35.74017,502,293,"גולן תיכוני",310,"יישוב כפרי","מושבים",211,"אשכול רשויות גליל מזרחי",,
3754,"אספר","Asfar",7,"אזור יהודה ושומרון",77,"חברון",76,"מועצה אזורית גוש עציון",217840,610410,31.58604,35.18748,1114,,,370,"יישוב כפרי","יישובים קהילתיים",,,,
529,"אעבלין","I'billin",2,"הצפון",24,"עכו",99,"מועצה מקומית",217650,747990,32.82671,35.18522,13693,241,"אזור שפרעם",270,"יישוב עירוני","יישובים לא יהודיים 19,999-10,000 תושבים",310,"אשכול רשויות המפרץ",,
4301,"אפיק","Afiq",2,"הצפון",29,"גולן",71,"מועצה אזורית גולן",266060,742750,32.77848,35.70195,356,294,"גולן דרומי",330,"יישוב כפרי","קיבוצים",211,"אשכול רשויות גליל מזרחי",,
176,"אפיקים","Afiqim",2,"הצפון",22,"כנרת",6,"מועצה אזורית עמק הירדן",254490,731910,32.68117,35.57805,1497,221,"כנרות",330,"יישוב כפרי","קיבוצים",214,"אשכול רשויות הכנרת והעמקים",,
313,"אפק","Afeq",2,"הצפון",24,"עכו",4,"מועצה אזורית מטה אשר",212290,749310,32.8386,35.12797,762,246,"אזור עכו",330,"יישוב כפרי","קיבוצים",212,"אשכול רשויות גליל מערבי",,
3650,"אפרת","Efrat",7,"אזור יהודה ושומרון",76,"בית לחם",99,"מועצה מקומית",215070,619200,31.66531,35.15826,11804,,,170,"יישוב עירוני","יישובים יהודיים 19,999-10,000 תושבים",,,,
701,"ארבל","Arbel",2,"הצפון",22,"כנרת",3,"מועצה אזורית הגליל התחתון",245640,746460,32.81261,35.4841,766,222,"גליל תחתון מזרחי",310,"יישוב כפרי","מושבים",214,"אשכול רשויות הכנרת והעמקים",,
3598,"ארגמן","Argaman",7,"אזור יהודה ושומרון",75,"ירדן-יריחו",75,"מועצה אזורית ערבות הירדן",249510,675500,32.17264,35.52316,133,,,310,"יישוב כפרי","מושבים",710,"אשכול רשויות יהודה ושומרון",,
714,"ארז","Erez",6,"הדרום",61,"אשקלון",37,"מועצה אזורית שער הנגב",158880,607730,31.56028,34.56648,609,614,"אזור אשקלון",330,"יישוב כפרי","קיבוצים",620,"אשכול רשויות נגב מערבי",,
3570,"אריאל","Ari'el",7,"אזור יהודה ושומרון",73,"טול כרם",0,"עירייה",217860,667900,32.10451,35.1876,19647,,,170,"יישוב עירוני","יישובים יהודיים 19,999-10,000 תושבים",,,,
1324,"ארסוף","Arsuf",4,"המרכז",41,"השרון",19,"מועצה אזורית חוף השרון",182870,680070,32.21366,34.81643,174,411,"מערב השרון",350,"יישוב כפרי","יישובים כפריים אחרים, יהודיים",,,,
71,"אשבול","Eshbol",6,"הדרום",62,"באר שבע",42,"מועצה אזורית מרחבים",168270,595180,31.44756,34.66603,630,621,"אזור גרר",310,"יישוב כפרי","מושבים",620,"אשכול רשויות נגב מערבי",,
1276,"אשבל","Eshbal",2,"הצפון",24,"עכו",56,"מועצה אזורית משגב",228890,753540,32.87672,35.30531,140,241,"אזור שפרעם",330,"יישוב כפרי","קיבוצים",210,"אשכול רשויות בית הכרם הגלילי","נח""ל אשבל",
70,"אשדוד","Ashdod",6,"הדרום",61,"אשקלון",0,"עירייה",166900,633770,31.79551,34.64956,225974,613,"אזור אשדוד",130,"יישוב עירוני","יישובים יהודיים 499,999-200,000 תושבים",,,,
199,"אשדות יעקב (איחוד)","Ashdot Ya'aqov(Ihud)",2,"הצפון",22,"כנרת",6,"מועצה אזורית עמק הירדן",254710,729360,32.65817,35.5803,1019,221,"כנרות",330,"יישוב כפרי","קיבוצים",214,"אשכול רשויות הכנרת והעמקים",,
188,"אשדות יעקב (מאוחד)","Ashdot Ya'aqov(Me'uhad)",2,"הצפון",22,"כנרת",6,"מועצה אזורית עמק הירדן",255010,729770,32.66185,35.58351,645,221,"כנרות",330,"יישוב כפרי","קיבוצים",214,"אשכול רשויות הכנרת והעמקים",,
1188,"אשחר","Eshhar",2,"הצפון",24,"עכו",56,"מועצה אזורית משגב",228460,754550,32.88583,35.30073,984,241,"אזור שפרעם",370,"יישוב כפרי","יישובים קהילתיים",210,"אשכול רשויות בית הכרם הגלילי",,
